Melyik három magyar mérnök szabadalmaztatta a transzformátort 1885-ben?,"Bláthy Ottó Titusz, Déri Miksa és Zipernovszky Károly."
Miért előnyösebb a nagyfeszültségű energiaátvitel a kisfeszültségűnél?,"Mert ugyanazon teljesítmény átviteléhez kisebb áramerősség szükséges, ami csökkenti a vezetékveszteséget."
Hogyan aránylik a vezeték fűtési vesztesége ($P_v$) az áramerősséghez?,A veszteség az áramerősség négyzetével arányos ($P_v = I^2 R$).
Milyen feszültségtartományt állítanak elő általában az erőművi generátorok?,$6$ és $18\text{ kV}$ közötti feszültséget.
Mekkora a szabványos kisfeszültségű elosztóhálózat névleges feszültsége Magyarországon?,$3 \times 400/230\text{ V}$ (vagy $0.4\text{ kV}$).
Mi a villamosenergia-rendszer fogalma?,"A villamos energia előállítására, átvitelére és elosztására szolgáló berendezések (villamos művek) együttműködő rendszere."
Milyen hálózati feszültségszintek tartoznak az országos alaphálózathoz?,"$330$, $400$ és $750\text{ kV}$."
Mi a főelosztóhálózat feladata?,A villamos energia szállítása az alaphálózati csomópontokból az elosztóhálózat táppontjaiba.
Milyen hálózati alakzatot nevezünk sugaras hálózatnak?,"Egyetlen pontból táplált, többszörösen szétágazó nyitott vezetékrendszert."
Mi a gyűrűs hálózat legnagyobb előnye?,"A fogyasztók két irányból kaphatnak energiát, így üzemzavar esetén a hibahely szakaszolható."
Fogalom: Hálózati leágazópont,A közcélú elosztóhálózat és a csatlakozóvezeték összekötési pontja.
Mi határozza meg a csatlakozási pontot?,Ez a villamosmű és a fogyasztói berendezések közötti tulajdonjogi és felelősségi határ.
Milyen dokumentum tartalmazza a kábel nyomvonalának és szerelvényeinek pontos helyzetét?,A fektetési rajz.
Mekkora a legkisebb megengedett hajlítási sugár többerű műanyag szigetelésű kábel fektetésekor?,A kábel külső átmérőjének 15-szöröse ($15d$).
Milyen vizsgálatokat kell elvégezni a kábel szerelése előtt?,"Szemrevételezés, szigetelési ellenállás mérése és a burkolat feszültségpróbája."
Melyek a kábelfektetés legfontosabb eszközei?,"Húzógép, húzóharisnya és továbbítógörgők."
Mi a különbség a csatlakozóvezeték és a méretlen fővezeték között?,"A csatlakozóvezeték a hálózattól a mérőig tart, a méretlen fővezeték a csatlakozó főelosztót és a mérőhelyet köti össze."
Hová helyezhető el a fogyasztásmérő berendezés?,"Kizárólag a szolgáltató által jóváhagyott, tipizált mérőszekrénybe."
Mi a felhasználói mért főelosztó (lakáselosztó) feladata?,A mért villamos energia elosztása az egyes áramkörök felé és azok védelme.
Milyen modularitású eszközöket építenek be jellemzően egy lakáselosztóba?,"Kismegszakítókat, áram-védőkapcsolót (ÁVK) és esetenként túlfeszültség-levezetőt."
Mekkora tartalék helyet célszerű hagyni egy kiselosztóban a későbbi bővítéshez?,$10 - 30\%$ szabad helyet.
Milyen szempontok alapján kell szétválasztani a családi ház villamos áramköreit?,"Logikai, teljesítmény szerinti, elhelyezkedés szerinti és karbantarthatósági szempontok alapján."
Mely fogyasztóknak kötelező önálló áramkört kiépíteni egy lakásban?,"Nagy teljesítményű fogyasztóknak, mint a villamos tűzhely, bojler vagy klíma."
Szabad-e egy védőcsőbe húzni az erősáramú és a gyengeáramú (informatikai) vezetékeket?,"Nem, az informatikai kábeleket külön védőcsőben kell vezetni."
Milyen jelölés utal a harmonizált szabvány szerinti vezetékre a típusjelben?,"A kezdő ""H"" betű (pl. $H07V-U$)."
"Mit jelent a $H07V-U$ jelölésben a ""V"" betű?",PVC érszigetelést.
Milyen színűnek kell lennie a védővezetőnek ($PE$)?,Zöld-sárga csíkosnak.
