Mi a csatlakozási pont definíciója?,A villamosmű és a fogyasztói berendezések közötti tulajdoni határ.
Melyik magyar szabvány határozza meg a csatlakozási pontot?,Az MSZ 447.
Meddig terjed a csatlakozó vezeték a hálózati leágazóponttól számítva?,A fogyasztói vezetékhálózat kezdőpontjáig.
Ki a csatlakozó vezeték tulajdonosa és kezelője?,Az áramszolgáltató.
Ki a tulajdonosa az ingatlanon belüli fővezetéknek?,Az ingatlan tulajdonosa vagy a fogyasztó.
Mi a csatlakozó berendezés feladata?,"Összeköti a távvezeték-, alap- vagy elosztóhálózatot a fogyasztói vezetékhálózattal."
Milyen fogyasztóberendezéseket szabad a hálózatra kapcsolni?,Amelyek nem rontják más fogyasztók vételezésének minőségét.
Mekkora a csatlakozási teljesítményhatár kisfeszültségű kábelhálózaton?,$100\text{ kW}$-ig.
Mekkora a csatlakozási teljesítményhatár szabadvezetékhálózaton?,$20\text{ kW}$-ig.
Mekkora a csatlakozási teljesítményhatár kisfeszültségű transzformátorállomásból célkábellel?,$200\text{ kW}$-ig.
Hol található a csatlakozási pont elosztóhálózatról való csatlakozásnál?,A csatlakozó szekrényben lévő biztosító elmenő kapcsain.
Hol van a csatlakozási pont kandeláberben történő csatlakozás esetén?,A kandeláberben leágazó vezeték csatlakozási pontjánál.
Melyik szabványsorozat szerint kötelező megoldani a fogyasztó érintésvédelmét?,Az MSZ HD 60364.
Mit kell alkalmazni kiegészítő védelemként építkezések felvonulási építményeinél?,Áram-védőkapcsolót (RCD).
Mi a csatlakozási pont utáni túláramvédelmi berendezés elsődleges feladata?,Az eredő méretezési teljesítmény behatárolása.
Mi a feladata a túláramvédelemnek a hálózat védelme érdekében?,A hálózat túlterhelődésének megakadályozása.
Milyen eszközök lehetnek a csatlakozási pont utáni első túláramvédelmi készülékek?,"Késes biztosító, kisfeszültségű megszakító vagy kismegszakító."
Mekkora a túláramvédelmi kismegszakító maximális értéke lakások főelosztótábláján?,$25\text{ A}$.
Milyen feltétellel üzemelhet áramfejlesztő berendezés a közcélú hálózattal párhuzamosan?,Jóváhagyott műszaki tervdokumentáció és az áramszolgáltató engedélye alapján.
Hogyan kell biztosítani a hálózattól független áramfejlesztők elkülönítését?,Villamos vagy mechanikai reteszeléssel.
Melyik rendelet állapítja meg a villamosművek biztonsági övezetét?,A 2/2013. (II. 22.) NGM rendelet.
Mekkora a biztonsági övezet vízszintes távolsága $1\text{ kV}$ alatti szigetelt szabadvezeték esetén?,"$0,5\text{ méter}$."
Mekkora a biztonsági övezet távolsága földben elhelyezett vezetéknél $35\text{ kV}$-ig?,$1\text{ méter}$ a szélső ponttól.
Mekkora a falra szerelt szigetelt vezeték biztonsági övezete a légtér felé?,"$0,5\text{ méter}$."
Mekkora a biztonsági övezet szabadtéri transzformátorállomásnál $35\text{ kV}$ feszültségszintig?,A berendezés szélétől vízszintesen mért $5\text{ méter}$.
Milyen magas idegen építményt tilos létesíteni föld felszínétől mérve szabadvezeték alatt?,$3\text{ méternél}$ magasabbat.
Mekkora vízszintes távolságot kell tartani a szabadvezetéktől szilárd burkolatú úton való közlekedéskor?,Legalább $1\text{ métert}$.
Milyen feltétellel telepíthető fa a szabadvezeték biztonsági övezetébe?,Ha kifejlett állapotában sem közelíti meg $1\text{ méternél}$ jobban a vezetéket.
Hány munkanapon belül köteles az áramszolgáltató tájékoztatást adni lakossági igénybejelentésre?,$8$ munkanapon belül.
Hány napon belül köteles az áramszolgáltató tájékoztatást adni egyéb fogyasztónak hálózat hiánya esetén?,$30$ napon belül.
Maximum hány lakásos társasházig készíthető egyszerűsített csatlakozási műszaki dokumentáció?,$4$ lakásig.
Mekkora csatlakozási teljesítményig fogadható el az egyszerűsített műszaki dokumentáció?,Legfeljebb $30\text{ kW}$-ig.
Ki jogosult elkészíteni a csatlakozások egyszerűsített műszaki dokumentációját?,A „minősített kivitelező”.
Miről kell nyilatkoznia a kivitelezőnek az Installer's Declaration dokumentumban az érintésvédelem kapcsán?,Hogy a szabványossági felülvizsgálat megtörtént és eredménye jegyzőkönyvben rögzített.
Milyen két fő módon történhet a kisfeszültségű közcélú hálózatra való csatlakozás?,Szigetelt csatlakozóvezetékkel vagy kábeles csatlakozással.
Mekkora a megengedett maximális feszültségesés a csatlakozó vezetéken?,Maximum $1\%$.
Mekkora a szabadvezeték max. hossza egy fázis esetén segédoszlop alkalmazása nélkül?,$40\text{ méter}$.
Mekkora a szabadvezeték max. hossza három fázis esetén segédoszlop alkalmazása nélkül?,$30\text{ méter}$.
Milyen keresztmetszeti tartományban kell lennie az alumínium földkábelnek háromfázisú csatlakozásnál?,$16-25-50\text{ mm}^{2}$.
